"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
805,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.8,0.05,2.0,-154015713,0.2,0.4,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
812,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.8,0.05,2.0,-154010346,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
819,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.8,0.05,2.0,-153995029,0.2,0.8,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
826,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.8,0.05,2.0,-153977297,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
833,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,1.0,0.05,2.0,-153959368,0.2,0.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
840,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,1.0,0.05,2.0,-153944967,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
847,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,1.0,0.05,2.0,-153930827,0.2,0.6,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
854,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,1.0,0.05,2.0,-153923301,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
861,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,1.0,0.05,2.0,-153905879,0.2,1.0,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
868,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.08,0.0,0.05,2.0,-153887698,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
875,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.08,0.0,0.05,2.0,-153874860,0.2,0.2,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
882,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.08,0.0,0.05,2.0,-153860352,0.2,0.4,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
